detuning_frac,detuning,robust_fidelity
-0.08000000,-1.00530965e-03,0.29417726
-0.07200000,-9.04778684e-04,0.38061589
-0.06400000,-8.04247719e-04,0.47342709
-0.05600000,-7.03716754e-04,0.56887728
-0.04800000,-6.03185789e-04,0.66275358
-0.04000000,-5.02654825e-04,0.75060380
-0.03200000,-4.02123860e-04,0.82809883
-0.02400000,-3.01592895e-04,0.89142233
-0.01600000,-2.01061930e-04,0.93753469
-0.00800000,-1.00530965e-04,0.96434259
0.00000000,0.00000000e+00,0.97088546
0.00800000,1.00530965e-04,0.95750153
0.01600000,2.01061930e-04,0.92583954
0.02400000,3.01592895e-04,0.87854981
0.03200000,4.02123860e-04,0.81874943
0.04000000,5.02654825e-04,0.74964720
0.04800000,6.03185789e-04,0.67457598
0.05600000,7.03716754e-04,0.59725082
0.06400000,8.04247719e-04,0.52177453
0.07200000,9.04778684e-04,0.45209563
0.08000000,1.00530965e-03,0.39116979
